"","Region","Type","n_sum_smax","smax_mean","smax_se","smax_ct"
"1","GB","BANK",3059,0.0791108205295848,0.00488093348071266,4.25619834710744
"2","GB","SB",419,0.279236276849642,0.0219429108420462,4.26495726495726
"3","MAB","IS",45,0.0222222222222222,0.0222222222222222,4
"4","MAB","MS",1870,0.174866310160428,0.00878639214095479,4.39449541284404
"5","MAB","SB",1979,0.339565437089439,0.0106478884443542,4.37053571428571
"6","SNE","C",90,0.0444444444444444,0.0218444798782516,4.5
"7","SNE","IS",2042,0.105778648383937,0.00680769393282355,4.46296296296296
"8","SNE","MS",2850,0.235789473684211,0.00795284447665734,4.5
"9","SNE","SB",615,0.310569105691057,0.0186741271083675,4.57591623036649
