"","spp","Region","Type","bin","n","mean_ct","se_ct","conf_interval05","conf_interval95"
"1","ammspp","GB","BANK",1,1000,1.13196042390164,0.000943834975310652,1.0848693675931,1.19853159428622
"2","ammspp","GB","BANK",2,1000,1.10250985092181,0.00131923863947629,1.04388514777585,1.20180393685663
"3","ammspp","GB","BANK",3,1000,1.1151878592035,0.000911317578176797,1.07004114385502,1.18300869057076
"4","ammspp","GB","BANK",4,1000,1.97531778472996,0.000574779499919633,1.93448972189862,1.99979472284103
"5","ammspp","GB","BANK",5,1000,1.34494417255759,0.00224872052559681,1.21481902182708,1.48450607281414
"6","ammspp","MAB","MS",1,1000,1.50465660419152,0.00631133670391369,1.14157574201721,1.81559017501593
"7","ammspp","MAB","MS",2,1000,1.72210268754494,0.00409445902190742,1.40985573358331,1.90276739000299
"8","ammspp","MAB","MS",3,1000,1.25285665893202,0.00241729787090129,1.13024143214264,1.42578741319404
"9","ammspp","MAB","MS",4,1000,1.0925518421656,0.00144428317276218,1.03332745363309,1.20022498495466
"10","ammspp","MAB","MS",5,1000,1.96514644768378,0.00311244447556569,1.77913152129488,2.1464913196663
"11","ammspp","SNE","C",1,1000,1.43886397363618,0.0138043423102469,1.04739438062044,2
"12","ammspp","SNE","C",2,1000,2.08290327359089,0.0061820025696607,2,2.70817836079677
"13","ammspp","SNE","C",3,1000,1.45862207949879,0.00878931132871406,1.04515571197359,2.15271004118784
"14","ammspp","SNE","C",4,1000,1.47300651316705,0.010791959096655,1.0399245058765,1.99862795571565
"15","ammspp","SNE","C",5,1000,1.52053899306927,0.012772502752574,1.03453604185185,2.1012389061798
"16","ammspp","SNE","IS",1,1000,1.19261352155258,0.0028623319740011,1.08215845526997,1.39291153935215
"17","ammspp","SNE","IS",2,1000,1.61765783483347,0.00447314526768331,1.38808240541156,1.93831285927841
"18","ammspp","SNE","IS",3,1000,1.17614386948239,0.00192182433681873,1.08989315308269,1.31077458488367
"19","ammspp","SNE","IS",4,1000,1.31076313206483,0.00342020950076161,1.16227581442361,1.57429510989904
"20","ammspp","SNE","IS",5,1000,1.32661079749637,0.00525955132278136,1.09844966081273,1.76209473890159
"21","ammspp","SNE","MS",1,1000,1.11149893422584,0.00150902591494098,1.04412405990243,1.22565397668084
"22","ammspp","SNE","MS",2,1000,1.35273687824653,0.00233659484091343,1.22171845638686,1.49750228703888
"23","ammspp","SNE","MS",3,1000,1.20525028773919,0.00191611378200763,1.10822964664269,1.33761385212675
"24","ammspp","SNE","MS",4,1000,1.17317046472316,0.00192807505332032,1.08246354003699,1.32406610196128
"25","ammspp","SNE","MS",5,1000,1.46023016598004,0.00637537043683534,1.14052368677234,1.81772292194698
"26","auxspp","MAB","MS",1,1000,3.5913322556342,0.00795757534037273,3.19317819765535,4.04392872331515
"27","auxspp","MAB","MS",2,1000,4.00525655147992,0.000127558999957266,4,4.01503275585314
"28","auxspp","MAB","MS",3,1000,4.03612338673119,0.00067230432341886,4.00541898439984,4.08597073042978
"29","auxspp","MAB","MS",4,1000,3.62989669925527,0.00655575461823857,3.1408837889579,3.93792044510709
"30","auxspp","MAB","MS",5,1000,4.01666870114602,0.000374802366116839,4.00221424774669,4.04748260722067
"31","auxspp","MAB","SB",1,999,3.48543831181329,0.0130273940079658,3.05430890616368,4.07692818177028
"32","auxspp","MAB","SB",2,1000,3.99563691515879,0.000477082628597497,3.95564401914266,4.01758244803735
"33","auxspp","MAB","SB",3,1000,4.05175628625122,0.00116080789808235,4.00562124955424,4.14592711621091
"34","auxspp","MAB","SB",4,1000,3.98511222094244,0.000609514184874021,3.93981423856293,4
"35","auxspp","MAB","SB",5,1000,3.98839975356245,0.000362618534193711,3.95764060796034,4
"36","auxspp","SNE","IS",1,1000,4.01624499633227,0.000439371765361228,4,4.04543647427182
"37","auxspp","SNE","IS",2,1000,4.0213061646677,0.00121499829424444,4,4.09757832233258
"38","auxspp","SNE","IS",3,1000,4,0,4,4
"39","auxspp","SNE","IS",4,953,4,0,4,4
"40","auxspp","SNE","IS",5,1000,4,0,4,4
"41","auxspp","SNE","MS",1,997,4,0,4,4
"42","auxspp","SNE","MS",2,1000,4,0,4,4
"43","auxspp","SNE","MS",3,1000,4.00502409339227,0.000338054562470848,4,4.02935999577842
"44","auxspp","SNE","MS",4,1000,4,0,4,4
"45","auxspp","SNE","MS",5,1000,4,0,4,4
"46","auxspp","SNE","SB",1,947,4,0,4,4
"47","auxspp","SNE","SB",2,859,4,0,4,4
"48","auxspp","SNE","SB",4,639,4,0,4,4
"49","auxspp","SNE","SB",5,999,4,0,4,4
"50","benspp","GB","BANK",1,1000,2.37628044208313,0.00297700279153709,2.20730134501086,2.57595196476645
"51","benspp","GB","BANK",2,1000,2.30125149809262,0.00429686903547169,2.07114112935717,2.598485610992
"52","benspp","GB","BANK",3,1000,2.37945822729892,0.011188720285591,2,3.26314239032908
"53","benspp","GB","BANK",4,1000,2.78062810905776,0.00688932315870313,2.26504000355121,3.17436032865973
"54","benspp","GB","BANK",5,1000,2.17524140502217,0.00249035172447321,2.07126723354186,2.38311497569422
"55","benspp","GB","SB",1,1000,2.52571803451085,0.00447007648711589,2.23116084127232,2.76900826223865
"56","benspp","GB","SB",2,1000,2.47786371610464,0.00605547746351834,2.16031146901569,2.85890298277847
