"","Region","Type","n","prop"
"1","GB","BANK",109,0.865079365079365
"2","GB","SB",109,0.865079365079365
"3","GOM","BASIN",107,0.849206349206349
"4","GOM","IS",93,0.738095238095238
"5","GOM","MS",110,0.873015873015873
"6","MAB","IS",93,0.738095238095238
"7","MAB","MS",102,0.80952380952381
"8","MAB","SB",99,0.785714285714286
"9","SNE","C",92,0.73015873015873
"10","SNE","IS",102,0.80952380952381
"11","SNE","MS",106,0.841269841269841
"12","SNE","SB",102,0.80952380952381
