"",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"1","mean_ct","BANK","BASIN",21,3,0.153520735409667,-1.22673745576668,1.53377892658601,0.256429648970582,0.423334639721692,6.8968780424485,0.997,"ns","Games-Howell"
"2","mean_ct","BANK","C",21,11,-0.59605489694936,-1.78811220733891,0.596002413440187,0.272513443401045,1.54661896430583,23.8899756460884,0.639,"ns","Games-Howell"
"3","mean_ct","BANK","IS",21,40,0.135473314057295,-0.752485451748061,1.02343207986265,0.208327425361249,0.459824715222284,34.865586419043,0.997,"ns","Games-Howell"
"4","mean_ct","BANK","MS",21,45,0.166977626181726,-0.713552150497746,1.0475074028612,0.20630477039835,0.572313531827448,34.046546659604,0.992,"ns","Games-Howell"
"5","mean_ct","BANK","SB",21,23,0.855821640725184,-0.0364042415973186,1.74804752304769,0.208816287361281,2.89803680206213,33.4121931649514,0.066,"ns","Games-Howell"
"6","mean_ct","BASIN","C",3,11,-0.749575632359027,-2.19132709715395,0.6921758324359,0.276424678942083,1.91744823465749,7.71653734722867,0.457,"ns","Games-Howell"
"7","mean_ct","BASIN","IS",3,40,-0.0180474213523723,-1.54297640562191,1.50688156291717,0.213418233643674,0.0597955188894498,3.57804267047285,1,"ns","Games-Howell"
"8","mean_ct","BASIN","MS",3,45,0.0134568907720589,-1.53103581654098,1.5579495980851,0.211444282455344,0.0450022039286835,3.45236131820609,1,"ns","Games-Howell"
"9","mean_ct","BASIN","SB",3,23,0.702300905315517,-0.822376981587458,2.22697879221849,0.213895460824414,2.32170299766068,3.59230382175147,0.365,"ns","Games-Howell"
"10","mean_ct","C","IS",11,40,0.731528211006655,-0.328711709248974,1.79176813126228,0.23249678366529,2.22484178265771,15.9037968652148,0.28,"ns","Games-Howell"
"11","mean_ct","C","MS",11,45,0.763032523131086,-0.29253105309841,1.81859609936058,0.230686142943555,2.33887248053686,15.4830534125418,0.237,"ns","Games-Howell"
"12","mean_ct","C","SB",11,23,1.45187653767454,0.38856762138345,2.51518545396564,0.232934926802331,4.40737573934766,15.7766240161747,0.005,"**","Games-Howell"
"13","mean_ct","IS","MS",40,45,0.0315043121244312,-0.5854733664542,0.648481990703063,0.149508648142928,0.149000830497152,82.2114414215997,1,"ns","Games-Howell"
"14","mean_ct","IS","SB",40,23,0.72034832666789,0.0820798976273375,1.35861675570844,0.152955612671648,3.33013727124028,55.9860407523744,0.018,"*","Games-Howell"
"15","mean_ct","MS","SB",45,23,0.688844014543458,0.0624318799625807,1.31525614912434,0.150189086085603,3.24315359097279,56.7952649460901,0.023,"*","Games-Howell"
