"",".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"1","mean_ct","GOM","MAB",25,27,0.864937433452853,0.380522428695738,1.34935243820997,0.128811918340585,4.7480321105031,49.1415998122509,0.000104,"***","Games-Howell"
"2","mean_ct","MAB","SNE",27,66,-0.595436621052109,-1.07910572428975,-0.11176751781447,0.130383566181921,3.22922040593127,81.1513806082487,0.01,"**","Games-Howell"
